;;;
Системи і мережі передачі даних-2.Організація каналів та мереж передачі даних, доц. Полторак В. П.;Лек;2;
Телекомунікаційні системи і мережі-2.Інформаційно- телекомунікаційні системи, доц. Ролік О. І.;Лек;2;
Комп'ютеризовані системи управління-2. Інтелектуальні системи управління, ас. Шимкович В. М.;Лаб;2;
Комп'ютеризовані системи управління-2. Інтелектуальні системи управління, доц. Кравець П. І.;Лек;2;
Основи охорони праці, доц. Праховнік Н. А.;Лек;1;
Цифрова обробка сигналів та зображень, ст.вик. Моргаль О. М.;Лек;3;
Телекомунікаційні системи і мережі-2.Інформаційно- телекомунікаційні системи, ас. Тимофєєва Ю. С.;Лаб;2;
Системи і мережі передачі даних-2.Організація каналів та мереж передачі даних, ас. Дорошенко К. С.;Лаб;2;
Проектування мікропроцесорних систем-2. Проектування МПС на базі AVR мікроконтролерів, доц. Новацький А. О.;Лек;2;
Цифрова обробка сигналів та зображень, ст.вик. Моргаль О. М.;Лаб;3;
Проектування мікропроцесорних систем-2. Проектування МПС на базі AVR мікроконтролерів, ас. Галушко Д. О.;Лаб;2;
Основи охорони праці, доц. Праховнік Н. А;Прак;1;
